Total Time,Init Time,Write to crypto stream,
6892071,6828703,26547,
4731627,4609157,55545,
2513281,2443544,31742,
4956455,4816248,61829,
2484594,2419406,29245,
2817410,2754525,29134,
5322847,5192373,59607,
3332313,3249759,37882,
5635461,5472891,77598,
5137300,4982904,74285,
3780802,3609699,116750,
2491615,2419321,36310,
2472024,2406331,30097,
4494594,4365367,54758,
2742946,2670552,33713,
4597932,4467885,58791,
2941331,2869402,32945,
3073800,2994488,36795,
2523013,2449919,33805,
3079308,2994028,42215,
2851977,2741146,30947,
5736959,5564677,88601,
2604423,2528255,36825,
4040509,3940327,52305,
2457162,2392627,30030,
6338356,6254100,37969,
3056576,2968544,44375,
3708394,3614041,45292,
2285777,2217318,31380,
2458327,2395389,29423,
2412673,2221575,156727,
2350740,2288820,29065,
8498663,8291762,91036,
2671283,2606368,30349,
2282434,2215735,30170,
3798876,3699226,43071,
3667523,3511968,103390,
4834166,4698222,72282,
2822642,2748956,33964,
4309009,4175620,82422,
2550491,2479400,35528,
4662079,4569289,47297,
2518239,2451751,31747,
3233849,3145479,48626,
3638068,3549034,42383,
6458252,6282124,76253,
2490737,2421919,32830,
4372556,4240448,60404,
5557097,5410991,56004,
2721485,2647617,32402,
5430216,5295713,55680,
5545727,5405416,60025,
13238271,13093594,65189,
4682307,4571818,47803,
3391604,3295820,41474,
2813145,2738719,33758,
3175561,3090462,38100,
3798336,3709382,43520,
2809490,2727709,47168,
3311928,3232563,41840,
2125359,2060816,29623,
2473172,2402006,33687,
2593413,2522979,34242,
4944512,4803608,61693,
2723825,2651903,35408,
2970022,2876036,47020,
5829795,5654844,90790,
5862447,5719386,60404,
2630392,2554369,37842,
5795399,5622864,63470,
2749707,2677331,34312,
2711782,2644088,31678,
2725602,2653792,33785,
2701076,2637118,28994,
2581108,2506878,37264,
2476654,2411859,29656,
2958583,2888382,32027,
2246911,2181993,29190,
3823140,3736110,42369,
2301209,2234903,30588,
10791676,10660401,56863,
4117540,4001768,52071,
4402067,4266464,62681,
5134425,4995392,62108,
3698385,3609334,39500,
4720769,4598531,53822,
3407521,3326904,34730,
3436992,3349259,40556,
2572669,2505725,29856,
2447737,2380854,32693,
2679934,2608605,33526,
3059544,2974708,42778,
2256591,2189974,30587,
2395378,2331518,27538,
3220349,3133860,39599,
3589991,3491980,43302,
5575127,5416559,78237,
4565076,4438847,58242,
4744350,4603400,67845,
5497671,5324672,74323,
2491112,2417845,34300,
2299388,2233927,29792,
2487155,2397826,52239,
2621239,2554744,30690,
2586989,2508130,34949,
6382886,6300833,37088,
2838474,2718943,77053,
3070895,2994517,33631,
3281553,3196293,41716,
2819111,2732841,36921,
5158820,5051544,45208,
5836914,5693057,58017,
2821151,2736621,34389,
6291841,6137407,63750,
4301391,4187404,49348,
2412315,2343878,32238,
2349331,2280803,31507,
4559307,4436441,53964,
2544173,2470979,34059,
2671071,2599388,33504,
3405526,3310712,45852,
2586923,2518961,32612,
2203682,2139042,29943,
2255320,2178065,39155,
2658714,2591976,27748,
2683975,2598091,41954,
5492288,5365736,60523,
2629589,2550363,38429,
5506097,5345413,74298,
4495263,4364206,55918,
2614544,2541083,33518,
4232831,4102853,53896,
9012819,8895851,50497,
3591104,3489713,51819,
3228312,3156251,34480,
2746437,2672954,34217,
3479459,3394011,40762,
3023447,2954320,30758,
2496965,2433600,29445,
2531307,2460785,33070,
2498356,2425072,30378,
3015867,2871958,45804,
2933222,2848626,39894,
4378167,4255993,54949,
2867227,2789403,38098,
2294622,2230673,29823,
6471858,6196247,74424,
2617538,2545592,31378,
6360992,6217198,67159,
3674357,3572924,43243,
2680032,2604568,34616,
3689157,3607200,38954,
2464430,2398797,28513,
2993189,2922296,31287,
2328632,2262535,28642,
5568976,5407817,61336,
3909242,3787853,54765,
3685899,3589395,41973,
2447796,2324854,34039,
2729293,2656860,30590,
5330191,5267878,26172,
6073663,5878685,83885,
4703182,4573219,57632,
4540557,4407241,60694,
5563110,5419471,65062,
2643003,2568096,35477,
3555778,3476051,36039,
2607040,2534049,34745,
2484636,2413163,33076,
3249215,3174195,32958,
3343803,3251893,48521,
2598108,2507816,42414,
2921212,2821860,31345,
2332767,2269148,29171,
2876804,2801904,32617,
2353643,2286098,31923,
5448717,5326056,51767,
5330377,5181024,59937,
4955078,4796915,69152,
4657589,4536118,49918,
4396451,4267780,60534,
3199201,3110115,42185,
2597450,2510710,44239,
3611680,3535138,34608,
3424968,3335515,43302,
3282211,3216194,28406,
2790549,2705111,41957,
6060871,5994036,27317,
2506477,2440457,30613,
2193478,2127769,30039,
2371449,2304084,28738,
4468066,4347952,56377,
5125756,5005851,50434,
3044627,2954318,43182,
2839693,2762705,37588,
2519003,2447507,32560,
3211358,3124800,43624,
2883876,2800255,36421,
3915769,3808902,50581,
2840677,2764298,36142,
2866208,2783598,36979,
3443065,3351950,40498,
4954149,4829090,65006,
3236341,3152624,39211,
2735891,2660726,34893,
2275203,2208661,29604,
3601007,3520417,36441,
2841722,2723935,68495,
4583629,4486686,44747,
4210238,4112368,45668,
2952025,2833257,80656,
2326120,2261283,29424,
5468066,5326472,62421,
4080103,3962538,49402,
4040161,3944513,40991,
7294039,7207281,39373,
4011317,3915766,41766,
3023880,2933458,39347,
3417065,3329131,42187,
4999229,4915929,38721,
2218486,2152523,29425,
2323962,2259693,29276,
2680128,2615840,29150,
2519736,2441281,37579,
2506955,2442604,26754,
2219230,2155870,28800,
2559244,2496662,28836,
2435174,2369659,30726,
4396541,4270060,54815,
2922290,2842620,41333,
2613922,2529089,44192,
3311267,3234224,36252,
3677925,3576284,49840,
2593060,2524804,31783,
3311131,3229281,36806,
2346109,2275114,32501,
2538290,2454634,40857,
5314827,5181813,56420,
4039015,3932656,44819,
4372012,4246637,55892,
3197922,3125138,28877,
3240729,3164109,36340,
13371111,12974350,69726,
4958598,4817767,58165,
4267013,4137185,57252,
6623131,6485820,61909,
4420120,4290191,57454,
3443879,3354349,42686,
3333919,3252166,36406,
2206226,2138558,32470,
2891045,2808040,40908,
2642663,2558704,32456,
2295274,2226654,31735,
2351406,2285841,29463,
2820575,2754372,30453,
3427481,3339270,43334,
3844896,3756705,39892,
5421240,5246390,102755,
6025775,5867860,63293,
4846036,4708293,54364,
2975330,2895177,34379,
5290967,5164883,54533,
5941299,5795470,60373,
3022691,2951057,31882,
3370371,3286352,36626,
2267621,2200031,30998,
2563544,2497708,29893,
2509115,2436116,35411,
2689354,2621089,31303,
2362869,2297053,30431,
6384383,6315537,28217,
2688165,2610154,33364,
7569109,7410198,68437,
4829287,4699701,56924,
5032294,4897599,60436,
4415386,4284912,54344,
5110396,4980543,56679,
2799607,2730276,32355,
2363590,2293265,31161,
3367954,3295381,28650,
3229135,3137087,38991,
2258432,2190363,29225,
2323099,2257506,29557,
2562859,2496905,31142,
2572232,2497423,31251,
3154725,3076591,36734,
3461031,3377420,36882,
2315137,2248101,31604,
4713099,4602963,48281,
3017776,2933151,42093,
4426839,4301826,53918,
2659532,2587993,33673,
4138784,4015966,53092,
2434586,2370825,27235,
4908241,4742101,79803,
2564322,2499725,27898,
3103515,3014845,44273,
6830827,6756652,32324,
3046035,2957083,44094,
2219912,2154480,29904,
2579658,2513540,28705,
2371029,2231870,29616,
2917820,2850225,29125,
3377649,3285303,41480,
4981935,4848233,62016,
2586457,2512035,34080,
6302733,6137897,63360,
5965576,5806023,62098,
2859176,2771638,45043,
4403868,4287000,52849,
4883777,4733586,58890,
3322682,3233077,40288,
3667940,3567468,46831,
2469387,2397292,36570,
2371753,2306742,28019,
2266609,2199295,30835,
2527987,2464787,28266,
2549503,2483127,30868,
2290527,2224265,30678,
3127739,3045755,36883,
2280962,2211285,32026,
7006389,6798759,98355,
4586559,4452021,61074,
2827423,2753059,35701,
3125743,3047256,36107,
14890923,14694327,72272,
5157464,5034313,55082,
3854868,3732619,58464,
2636386,2569391,30696,
2674873,2608948,29445,
2850812,2781832,32815,
2344821,2279923,29317,
2278653,2212649,30502,
2411559,2341735,30435,
2677636,2610771,31771,
2464432,2389465,30523,
5024244,4879883,71921,
4306801,4210015,46586,
2789029,2703546,44845,
2366983,2297083,30730,
3310913,3235491,38510,
3039696,2961671,34425,
3235039,3156230,35679,
3978861,3886268,46013,
4051221,3961690,35201,
2543214,2469951,34996,
2752555,2684957,27260,
2278506,2216036,28941,
2863945,2788635,29976,
2493869,2422972,33729,
2252487,2189165,28582,
3631858,3560248,31622,
7040428,6963719,31332,
2701101,2627645,36134,
2720117,2640955,39156,
2830225,2752584,38635,
5242443,5094851,66698,
5443517,5314777,51372,
4597818,4474178,52640,
5220278,5086571,53314,
3074035,2947447,35243,
4274314,4177268,50832,
2580215,2506694,31941,
2831785,2755119,39621,
2662600,2595807,29464,
2937205,2843402,48257,
2580749,2507499,36106,
2996045,2898325,49370,
2206014,2141445,28861,
2217329,2155743,26690,
4380848,4259377,56138,
3163695,3085928,35860,
4061328,3942912,51868,
4761197,4644506,46989,
4248711,4112242,63763,
2670413,2558566,33228,
2367264,2299867,31659,
3180278,3100756,39940,
2461375,2380726,41617,
2703226,2628940,35077,
